epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,454.465,1.0992,1.07883,1.63226,0.71086,0.66755,0.71282,0.40693,1.48236,1.4383,1.98619,0.000794923,0.000794923,0.000794923
55,462.829,1.11109,1.08599,1.65158,0.82485,0.66727,0.75501,0.43818,1.42749,1.29979,1.93794,0.000778468,0.000778468,0.000778468
56,471.109,1.09541,1.08873,1.63667,0.80765,0.64587,0.74076,0.42189,1.44796,1.33798,1.95303,0.000762014,0.000762014,0.000762014
57,479.448,1.1159,1.08612,1.64781,0.79347,0.67692,0.73488,0.43177,1.41757,1.39326,1.92757,0.00074556,0.00074556,0.00074556
58,487.768,1.08403,1.0773,1.62025,0.74312,0.66773,0.70603,0.40695,1.49445,1.42034,2.00452,0.000729105,0.000729105,0.000729105
59,496.058,1.08259,1.0547,1.62391,0.77009,0.6859,0.74437,0.433,1.44413,1.3366,1.95512,0.000712651,0.000712651,0.000712651
60,504.596,1.0741,1.01165,1.59778,0.75401,0.6642,0.73022,0.41914,1.46842,1.38205,2.00748,0.000696197,0.000696197,0.000696197
61,513.002,1.05683,1.0143,1.61644,0.81595,0.64839,0.73402,0.43198,1.45331,1.32714,1.96885,0.000679743,0.000679743,0.000679743
62,521.317,1.06128,1.03055,1.59966,0.76351,0.63471,0.71456,0.42987,1.40723,1.46647,1.92767,0.000663288,0.000663288,0.000663288
63,529.675,1.0448,1.01923,1.59462,0.78223,0.71034,0.75529,0.43173,1.45786,1.28417,2.00824,0.000646834,0.000646834,0.000646834
64,538.038,1.03311,0.98905,1.59411,0.83179,0.63594,0.72584,0.42203,1.44516,1.36224,1.96399,0.00063038,0.00063038,0.00063038
65,546.347,1.08919,1.03053,1.6132,0.81269,0.69787,0.7661,0.43856,1.45939,1.29902,1.97127,0.000613925,0.000613925,0.000613925
66,554.653,1.05389,1.00071,1.60403,0.75919,0.67092,0.73173,0.42246,1.49168,1.34941,2.03822,0.000597471,0.000597471,0.000597471
67,563.022,1.05074,0.99745,1.60411,0.76508,0.66587,0.73022,0.43504,1.43341,1.36798,1.93382,0.000581017,0.000581017,0.000581017
68,571.538,1.0443,0.98863,1.57152,0.76941,0.65203,0.7141,0.40602,1.47534,1.4188,2.00717,0.000564563,0.000564563,0.000564563
